"Variables","Importance","Boruta1","Boruta2"
"X3.10_141.0786n",0.07,0,0
"X5.89_231.1701m.z",0.01,0,0
"X6.01_130.0859m.z",0.02,0,0
"X5.95_161.1278m.z",0.02,0,0
"X1.07_156.1376m.z",0.02,0,0
"X2.99_130.0499m.z",0.08,0,0
"X1.52_130.0854m.z",0.09,0,0
"X5.67_233.1495m.z",0.19,0,0
"X4.20_265.0839m.z",0.02,0,0
"X3.10_96.0802m.z",0.02,0,0
"X3.59_278.0518m.z",0.04,0,0
"X2.27_370.1141n",0.02,0,0
"X0.79_177.0135m.z",0.05,0,0
"X4.07_384.2738m.z",0.02,0,0
"X4.93_303.1330m.z",0.02,0,0
"X5.13_230.1377n",0.04,0,0
"X6.01_175.1436m.z",0.03,0,0
"X3.09_243.1799m.z",0.87,1,1
"X5.70_216.1471n",0.05,0,0
"X5.92_203.1892m.z",0.17,0,1
"X5.70_173.1640m.z",0.07,0,0
"X3.39_186.1478m.z",0.03,0,0
"X3.11_120.0781m.z",0.11,1,1
"X3.12_142.1192m.z",0.09,0,0
"X3.11_339.1907m.z",0.05,0,0
"X4.67_143.0943n",0.12,0,0
"X0.75_316.1188m.z",0.03,0,0
"X1.26_344.2384m.z",0.03,0,0
"X3.31_186.1480m.z",0.02,0,0
"X3.59_296.0271m.z",0.05,0,0
"X4.12_326.2479m.z",0.01,0,0
"X4.06_173.1387m.z",0.02,0,0
"X4.49_132.1013m.z",0.03,0,0
"X3.99_301.2255n",0,0,0
"X5.68_267.1325m.z",0.02,0,0
"X5.70_130.1216m.z",0.03,0,0
"X3.98_408.1763m.z",0,0,0
"X2.53_250.0652m.z",0.01,0,0
"X6.01_130.1216m.z",0.09,0,0
"X3.87_319.0615m.z",0.06,0,0
"X1.05_226.0709n",0.04,0,0
"X5.29_231.1809m.z",1.12,1,1
"X0.42_264.9752m.z",0.09,0,0
"X1.05_185.0658m.z",0.07,0,0
"X2.80_231.1324m.z",0.05,0,0
"X5.51_245.2046m.z",0.02,0,0
"X5.70_175.1434m.z",0.11,0,0
"X4.67_98.0959m.z",0.07,0,0
"X4.78_318.2276m.z",0.03,0,0
"X4.48_114.0907m.z",0.02,0,0
"X1.07_202.1428m.z",0.01,0,0
"X1.07_114.1271m.z",0.01,0,0
"X1.64_268.0814n",0.02,0,0
"X4.33_147.0890n",0.02,0,0
"X3.06_200.1018n",0.02,0,0
"X3.60_255.0620n",0.02,0,0
"X4.28_174.1131m.z",0.04,0,0
"X4.32_318.2258m.z",0.03,0,0
"X4.44_139.0389m.z",0.02,0,0
"X4.49_157.1209m.z",0.02,0,0
"X4.85_238.0451m.z",0.03,0,0
"X5.09_152.0831n",0.07,0,0
"X5.09_259.0267m.z",0.04,0,0
"X5.09_457.1199m.z",0.02,0,0
"X5.09_181.0849m.z",0.1,0,0
"X5.09_450.1056n",0.02,0,0
"X4.64_637.1565m.z",2.63,1,1
"X4.53_467.1612m.z",0.06,0,0
"X4.54_174.1135m.z",0.08,0,0
"X4.84_197.0803m.z",0.23,0,1
"X4.68_637.3314m.z",0.04,0,0
"X4.70_198.0378m.z",0.06,0,0
