"set","nr","mtry","oob"
"df4_d",6,510,0.0508474576271186
"df4_d",7,510,0.0677966101694915
"df4_d",8,510,0.0576271186440678
"df4_d",9,510,0.0542372881355932
"df4_d",10,510,0.0576271186440678
"df4_d",1,520,0.0644067796610169
"df4_d",2,520,0.0576271186440678
"df4_d",3,520,0.0644067796610169
"df4_d",4,520,0.0644067796610169
"df4_d",5,520,0.0576271186440678
"df4_d",6,520,0.0610169491525424
"df4_d",7,520,0.0644067796610169
"df4_d",8,520,0.0542372881355932
"df4_d",9,520,0.0576271186440678
"df4_d",10,520,0.0576271186440678
"df4_d",1,530,0.0576271186440678
"df4_d",2,530,0.0508474576271186
"df4_d",3,530,0.0610169491525424
"df4_d",4,530,0.0508474576271186
"df4_d",5,530,0.0576271186440678
"df4_d",6,530,0.0644067796610169
"df4_d",7,530,0.0508474576271186
"df4_d",8,530,0.0542372881355932
"df4_d",9,530,0.0610169491525424
"df4_d",10,530,0.0576271186440678
"df4_d",1,540,0.0542372881355932
"df4_d",2,540,0.0644067796610169
"df4_d",3,540,0.0644067796610169
"df4_d",4,540,0.0576271186440678
"df4_d",5,540,0.0508474576271186
"df4_d",6,540,0.0576271186440678
"df4_d",7,540,0.0576271186440678
"df4_d",8,540,0.0576271186440678
"df4_d",9,540,0.0576271186440678
"df4_d",10,540,0.0610169491525424
"df4_d",1,550,0.0474576271186441
"df4_d",2,550,0.0576271186440678
"df4_d",3,550,0.0542372881355932
"df4_d",4,550,0.0644067796610169
"df4_d",5,550,0.0610169491525424
"df4_d",6,550,0.0576271186440678
"df4_d",7,550,0.0610169491525424
"df4_d",8,550,0.0576271186440678
"df4_d",9,550,0.0610169491525424
"df4_d",10,550,0.0644067796610169
"df4_d",1,560,0.0677966101694915
"df4_d",2,560,0.0576271186440678
"df4_d",3,560,0.0576271186440678
"df4_d",4,560,0.0644067796610169
"df4_d",5,560,0.0576271186440678
"df4_d",6,560,0.0677966101694915
"df4_d",7,560,0.0644067796610169
"df4_d",8,560,0.0610169491525424
"df4_d",9,560,0.0610169491525424
"df4_d",10,560,0.0644067796610169
"df4_d",1,570,0.0644067796610169
"df4_d",2,570,0.0677966101694915
"df4_d",3,570,0.0576271186440678
"df4_d",4,570,0.0542372881355932
"df4_d",5,570,0.0610169491525424
"df4_d",6,570,0.0610169491525424
"df4_d",7,570,0.0610169491525424
"df4_d",8,570,0.0542372881355932
"df4_d",9,570,0.0542372881355932
"df4_d",10,570,0.0610169491525424
"df4_d",1,580,0.0677966101694915
"df4_d",2,580,0.0508474576271186
"df4_d",3,580,0.0576271186440678
"df4_d",4,580,0.0677966101694915
"df4_d",5,580,0.0542372881355932
"df4_d",6,580,0.0576271186440678
"df4_d",7,580,0.0610169491525424
"df4_d",8,580,0.0610169491525424
"df4_d",9,580,0.0576271186440678
"df4_d",10,580,0.0644067796610169
"df4_d",1,590,0.0644067796610169
"df4_d",2,590,0.0644067796610169
"df4_d",3,590,0.0610169491525424
"df4_d",4,590,0.0576271186440678
"df4_d",5,590,0.0610169491525424
"df4_d",6,590,0.0542372881355932
"df4_d",7,590,0.0610169491525424
"df4_d",8,590,0.0644067796610169
"df4_d",9,590,0.0644067796610169
"df4_d",10,590,0.0677966101694915
"df4_d",1,600,0.0576271186440678
"df4_d",2,600,0.0610169491525424
"df4_d",3,600,0.0610169491525424
"df4_d",4,600,0.0644067796610169
"df4_d",5,600,0.0576271186440678
"df4_d",6,600,0.0576271186440678
"df4_d",7,600,0.0677966101694915
"df4_d",8,600,0.0644067796610169
"df4_d",9,600,0.0677966101694915
"df4_d",10,600,0.0610169491525424
"df4_d",1,610,0.0542372881355932
"df4_d",2,610,0.0610169491525424
"df4_d",3,610,0.0610169491525424
"df4_d",4,610,0.0677966101694915
"df4_d",5,610,0.0610169491525424
"df4_d",6,610,0.0677966101694915
"df4_d",7,610,0.0576271186440678
"df4_d",8,610,0.0576271186440678
"df4_d",9,610,0.0508474576271186
"df4_d",10,610,0.0610169491525424
"df4_d",1,620,0.0576271186440678
"df4_d",2,620,0.0644067796610169
"df4_d",3,620,0.0610169491525424
"df4_d",4,620,0.0644067796610169
"df4_d",5,620,0.0711864406779661
"df4_d",6,620,0.0610169491525424
"df4_d",7,620,0.0610169491525424
"df4_d",8,620,0.0610169491525424
"df4_d",9,620,0.0677966101694915
"df4_d",10,620,0.0610169491525424
"df4_d",1,630,0.0644067796610169
"df4_d",2,630,0.0677966101694915
"df4_d",3,630,0.0576271186440678
"df4_d",4,630,0.0610169491525424
"df4_d",5,630,0.0610169491525424
"df4_d",6,630,0.0610169491525424
"df4_d",7,630,0.0745762711864407
"df4_d",8,630,0.0610169491525424
"df4_d",9,630,0.0610169491525424
"df4_d",10,630,0.0610169491525424
"df4_d",1,640,0.0576271186440678
"df4_d",2,640,0.0576271186440678
"df4_d",3,640,0.0644067796610169
"df4_d",4,640,0.0677966101694915
"df4_d",5,640,0.0644067796610169
"df4_d",6,640,0.0644067796610169
"df4_d",7,640,0.0576271186440678
"df4_d",8,640,0.0677966101694915
"df4_d",9,640,0.0576271186440678
"df4_d",10,640,0.0576271186440678
"df4_d",1,650,0.0542372881355932
"df4_d",2,650,0.0610169491525424
"df4_d",3,650,0.0576271186440678
"df4_d",4,650,0.0644067796610169
"df4_d",5,650,0.0576271186440678
"df4_d",6,650,0.0644067796610169
"df4_d",7,650,0.0610169491525424
"df4_d",8,650,0.0677966101694915
"df4_d",9,650,0.0677966101694915
"df4_d",10,650,0.0644067796610169
"df4_d",1,660,0.0610169491525424
"df4_d",2,660,0.0576271186440678
"df4_d",3,660,0.0711864406779661
"df4_d",4,660,0.0711864406779661
"df4_d",5,660,0.0610169491525424
"df4_d",6,660,0.0644067796610169
"df4_d",7,660,0.0677966101694915
"df4_d",8,660,0.0610169491525424
"df4_d",9,660,0.0610169491525424
"df4_d",10,660,0.0711864406779661
"df4_d",1,670,0.0610169491525424
"df4_d",2,670,0.0745762711864407
"df4_d",3,670,0.0677966101694915
"df4_d",4,670,0.0576271186440678
"df4_d",5,670,0.0644067796610169
"df4_d",6,670,0.0711864406779661
"df4_d",7,670,0.0576271186440678
"df4_d",8,670,0.0677966101694915
"df4_d",9,670,0.0677966101694915
"df4_d",10,670,0.0644067796610169
"df4_d",1,680,0.0576271186440678
"df4_d",2,680,0.0576271186440678
"df4_d",3,680,0.0610169491525424
"df4_d",4,680,0.0610169491525424
"df4_d",5,680,0.0644067796610169
"df4_d",6,680,0.0610169491525424
"df4_d",7,680,0.0677966101694915
"df4_d",8,680,0.0677966101694915
"df4_d",9,680,0.0610169491525424
"df4_d",10,680,0.0677966101694915
"df4_d",1,690,0.0610169491525424
"df4_d",2,690,0.0677966101694915
"df4_d",3,690,0.0677966101694915
"df4_d",4,690,0.0677966101694915
"df4_d",5,690,0.0677966101694915
"df4_d",6,690,0.0576271186440678
"df4_d",7,690,0.0677966101694915
"df4_d",8,690,0.0677966101694915
"df4_d",9,690,0.0677966101694915
"df4_d",10,690,0.0644067796610169
"df4_d",1,700,0.0644067796610169
"df4_d",2,700,0.0644067796610169
"df4_d",3,700,0.0610169491525424
"df4_d",4,700,0.0677966101694915
"df4_d",5,700,0.0644067796610169
"df4_d",6,700,0.0610169491525424
"df4_d",7,700,0.0644067796610169
"df4_d",8,700,0.0711864406779661
"df4_d",9,700,0.0644067796610169
"df4_d",10,700,0.0677966101694915
"df4_d",1,710,0.0644067796610169
"df4_d",2,710,0.0644067796610169
"df4_d",3,710,0.0677966101694915
"df4_d",4,710,0.0677966101694915
"df4_d",5,710,0.0644067796610169
"df4_d",6,710,0.0644067796610169
"df4_d",7,710,0.0677966101694915
"df4_d",8,710,0.0610169491525424
"df4_d",9,710,0.0677966101694915
"df4_d",10,710,0.0711864406779661
"df4_d",1,720,0.0644067796610169
"df4_d",2,720,0.0644067796610169
"df4_d",3,720,0.0677966101694915
"df4_d",4,720,0.0610169491525424
"df4_d",5,720,0.0677966101694915
"df4_d",6,720,0.0644067796610169
"df4_d",7,720,0.0677966101694915
"df4_d",8,720,0.0677966101694915
"df4_d",9,720,0.0677966101694915
"df4_d",10,720,0.0677966101694915
"df4_d",1,730,0.0711864406779661
"df4_d",2,730,0.0576271186440678
"df4_d",3,730,0.0677966101694915
"df4_d",4,730,0.0644067796610169
"df4_d",5,730,0.0644067796610169
"df4_d",6,730,0.0677966101694915
"df4_d",7,730,0.0677966101694915
"df4_d",8,730,0.0711864406779661
"df4_d",9,730,0.0677966101694915
"df4_d",10,730,0.0711864406779661
"df4_d",1,740,0.0576271186440678
"df4_d",2,740,0.0644067796610169
"df4_d",3,740,0.0644067796610169
"df4_d",4,740,0.0677966101694915
